desc_barrio_local,Superficie_TO
ABRANTES,1240
ACACIAS,4602
ADELFAS,1343
AEROPUERTO,234
ALAMEDA DE OSUNA,1285
ALMAGRO,6545
ALMENARA,1477
ALMENDRALES,870
ALUCHE,5526
AMPOSTA,941
APOSTOL SANTIAGO,461
ARAPILES,5367
ARAVACA,1069
ARCOS,1616
ARGUELLES,5633
ATOCHA,355
BELLAS VISTAS,1178
BERRUGUETE,1427
BUENAVISTA,2875
BUTARQUE,1277
CAMPAMENTO,649
CANILLAS,3336
CANILLEJAS,1948
CASA DE CAMPO,1720
CASCO H.BARAJAS,1408
CASCO H.VALLECAS,2860
CASCO H.VICALVARO,2373
CASTELLANA,5358
CASTILLA,2302
CASTILLEJOS,3894
CHOPERA,2303
CIUDAD JARDIN,2749
CIUDAD UNIVERSITARIA,1384
COLINA,315
COMILLAS,2005
CONCEPCION,2941
CORRALEJOS,949
CORTES,3641
COSTILLARES,929
CUATRO CAMINOS,5179
CUATRO VIENTOS,120
DELICIAS,3092
EL CAÑAVERAL,43
EL GOLOSO,2181
EL PARDO,597
EL PILAR,4608
EL SALVADOR,943
EL VISO,3765
EMBAJADORES,7205
ENSANCHE DE VALLECAS,2565
ENTREVIAS,2820
ESTRELLA,1323
FONTARRON,1002
FUENTE DEL BERRO,1694
GAZTAMBIDE,5119
GOYA,6542
GUINDALERA,3589
HELLIN,192
HISPANOAMERICA,7292
HORCAJO,383
IBIZA,6780
IMPERIAL,2780
JUSTICIA,4069
LA PAZ,1389
LAS AGUILAS,3926
LEGAZPI,2307
LISTA,4853
LOS ANGELES,2589
LOS CARMENES,496
LOS JERONIMOS,1934
LOS ROSALES,1894
LUCERO,1843
MARROQUINA,4190
MEDIA LEGUA,1124
MIRASIERRA,1277
MOSCARDO,2127
NIÑO JESUS,1685
NUEVA ESPAÑA,4471
NUMANCIA,2056
OPAÑEL,2384
ORCASITAS,1505
ORCASUR,903
PACIFICO,5081
PALACIO,9594
PALOMAS,654
PALOMERAS BAJAS,2610
PALOMERAS SURESTE,3005
PALOS DE MOGUER,4904
PAVONES,638
PEÑA GRANDE,2135
PINAR DEL REY,3212
PIOVERA,1004
PORTAZGO,2993
PRADOLONGO,650
PROSPERIDAD,5124
PUEBLO NUEVO,3440
PUERTA BONITA,1022
PUERTA DEL ANGEL,3051
QUINTANA,2368
RECOLETOS,6057
REJAS,265
RIOS ROSAS,8347
ROSAS,4110
SAN ANDRES,1982
SAN CRISTOBAL,1153
SAN DIEGO,1719
SAN FERMIN,1130
SAN ISIDRO,1767
SAN JUAN BAUTISTA,502
SAN PASCUAL,599
SANTA EUGENIA,2349
SIMANCAS,3567
SOL,10572
TIMON,1249
TRAFALGAR,7145
UNIVERSIDAD,5679
VALDEACEDERAS,1384
VALDEBERNARDO,1234
VALDEFUENTES,2169
VALDEMARIN,167
VALDERRIVAS,441
VALDEZARZA,1216
VALLEHERMOSO,3853
VALVERDE,5112
VENTAS,3012
VINATEROS,953
VISTA ALEGRE,4361
ZOFIO,563
